id,doc_quality,completeness,face_score,doc_score,liveness_score,risk,created_at
1,Good,0.76,0.51,0.38,0.72,High,2026-03-26T15:45:31.345880
2,Good,0.76,0.39,0.69,0.81,Medium,2026-03-26T15:45:31.346506
3,Good,0.7,0.72,0.56,0.51,High,2026-03-26T15:45:31.346512
4,Poor,0.95,0.26,0.34,0.73,High,2026-03-26T15:45:31.346516
5,Poor,0.6,0.3,0.38,0.94,High,2026-03-26T15:45:31.346519
6,Good,0.94,0.47,0.68,0.49,High,2026-03-26T15:45:31.346523
7,Poor,0.46,0.39,0.3,0.86,High,2026-03-26T15:45:31.346525
8,Poor,0.88,0.23,0.18,0.81,High,2026-03-26T15:45:31.346528
9,Good,0.78,0.54,0.51,0.67,High,2026-03-26T15:45:31.346531
10,Good,0.98,0.79,0.79,0.48,Medium,2026-03-26T15:45:31.346534
11,Good,0.61,0.45,0.52,0.53,High,2026-03-26T15:45:31.346536
12,Poor,0.86,0.36,0.16,0.53,High,2026-03-26T15:45:31.346539
13,Good,0.84,0.84,0.54,0.92,Medium,2026-03-26T15:45:31.346542
14,Good,0.51,0.86,0.54,0.86,Medium,2026-03-26T15:45:31.346545
15,Poor,0.96,0.2,0.33,0.71,High,2026-03-26T15:45:31.346547
16,Good,0.97,0.87,0.86,0.5,Medium,2026-03-26T15:45:31.346550
17,Poor,0.82,0.26,0.27,0.93,High,2026-03-26T15:45:31.346553
18,Good,0.88,0.64,0.51,0.76,Medium,2026-03-26T15:45:31.346556
19,Good,0.42,0.44,0.47,0.47,High,2026-03-26T15:45:31.346558
20,Poor,0.92,0.26,0.24,0.93,High,2026-03-26T15:45:31.346561
21,Poor,0.77,0.18,0.35,0.42,High,2026-03-26T15:45:31.346564
22,Good,0.43,0.52,0.81,0.58,Medium,2026-03-26T15:45:31.346567
23,Good,0.91,0.48,0.57,0.76,Medium,2026-03-26T15:45:31.346569
24,Good,0.55,0.78,0.28,0.42,High,2026-03-26T15:45:31.346572
25,Good,0.58,0.43,0.51,0.83,High,2026-03-26T15:45:31.346575
26,Good,0.67,0.65,0.32,0.42,High,2026-03-26T15:45:31.346577
27,Good,0.71,0.51,0.55,0.77,Medium,2026-03-26T15:45:31.346580
28,Good,0.65,0.42,0.41,0.63,High,2026-03-26T15:45:31.346583
29,Good,0.55,0.73,0.85,0.57,Medium,2026-03-26T15:45:31.346585
30,Poor,0.86,0.28,0.33,0.78,High,2026-03-26T15:45:31.346588
31,Good,0.8,0.38,0.87,0.96,Medium,2026-03-26T15:45:31.346593
32,Poor,0.71,0.37,0.17,0.9,High,2026-03-26T15:45:31.346596
33,Good,0.44,0.47,0.35,0.76,High,2026-03-26T15:45:31.346598
34,Poor,0.82,0.18,0.16,0.84,High,2026-03-26T15:45:31.346601
35,Poor,0.53,0.32,0.38,0.61,High,2026-03-26T15:45:31.346604
36,Poor,0.79,0.34,0.31,0.88,High,2026-03-26T15:45:31.346608
37,Good,0.63,0.44,0.83,0.85,Medium,2026-03-26T15:45:31.346610
38,Poor,0.78,0.18,0.33,0.44,High,2026-03-26T15:45:31.346613
39,Good,0.67,0.62,0.38,0.56,High,2026-03-26T15:45:31.346616
40,Good,0.71,0.44,0.54,0.68,High,2026-03-26T15:45:31.346618
41,Poor,0.54,0.22,0.28,0.51,High,2026-03-26T15:45:31.346621
42,Good,0.87,0.88,0.72,0.73,Medium,2026-03-26T15:45:31.346624
43,Good,0.94,0.61,0.43,0.58,High,2026-03-26T15:45:31.346627
44,Good,0.62,0.39,0.35,0.64,High,2026-03-26T15:45:31.346629
45,Poor,0.55,0.32,0.27,0.69,High,2026-03-26T15:45:31.346632
46,Good,0.88,0.41,0.7,0.5,High,2026-03-26T15:45:31.346636
47,Good,0.64,0.7,0.81,0.56,Medium,2026-03-26T15:45:31.346639
48,Good,0.89,0.7,0.84,0.49,Medium,2026-03-26T15:45:31.346642
49,Good,0.85,0.64,0.35,0.52,High,2026-03-26T15:45:31.346645
50,Good,0.41,0.4,0.65,0.79,Medium,2026-03-26T15:45:31.346647
51,Good,0.68,0.73,0.37,0.83,Medium,2026-03-26T15:45:31.346650
52,Poor,0.47,0.3,0.13,0.73,High,2026-03-26T15:45:31.346653
53,Good,0.48,0.57,0.49,0.96,Medium,2026-03-26T15:45:31.346655
54,Poor,0.86,0.32,0.34,0.87,High,2026-03-26T15:45:31.346658
55,Good,0.81,0.72,0.45,0.96,Medium,2026-03-26T15:45:31.346661
56,Poor,0.92,0.33,0.32,0.67,High,2026-03-26T15:45:31.346663
57,Good,0.63,0.65,0.41,0.51,High,2026-03-26T15:45:31.346666
58,Good,0.66,0.46,0.44,0.87,High,2026-03-26T15:45:31.346669
59,Good,0.92,0.86,0.61,0.7,Medium,2026-03-26T15:45:31.346671
60,Poor,0.69,0.25,0.18,0.68,High,2026-03-26T15:45:31.346674
61,Poor,0.72,0.18,0.37,0.41,High,2026-03-26T15:45:31.346677
62,Good,0.51,0.73,0.7,0.67,Medium,2026-03-26T15:45:31.346679
63,Good,0.58,0.39,0.36,0.61,High,2026-03-26T15:45:31.346682
64,Good,0.88,0.79,0.86,0.44,Medium,2026-03-26T15:45:31.346685
65,Poor,0.66,0.19,0.35,0.96,High,2026-03-26T15:45:31.346688
66,Good,1.0,0.55,0.75,0.91,Medium,2026-03-26T15:45:31.346691
67,Good,0.5,0.79,0.47,0.68,Medium,2026-03-26T15:45:31.346693
68,Good,0.73,0.6,0.28,0.6,High,2026-03-26T15:45:31.346696
69,Good,0.99,0.55,0.76,0.97,Medium,2026-03-26T15:45:31.346699
70,Poor,0.62,0.38,0.17,0.8,High,2026-03-26T15:45:31.346701
71,Poor,0.58,0.26,0.36,0.86,High,2026-03-26T15:45:31.346704
72,Good,0.8,0.42,0.33,0.65,High,2026-03-26T15:45:31.346707
73,Poor,0.73,0.2,0.2,0.57,High,2026-03-26T15:45:31.346709
74,Good,0.79,0.54,0.57,0.92,Medium,2026-03-26T15:45:31.346712
75,Poor,0.54,0.21,0.18,0.42,High,2026-03-26T15:45:31.346715
76,Good,0.89,0.52,0.6,0.91,Medium,2026-03-26T15:45:31.346717
77,Good,0.74,0.44,0.6,0.71,High,2026-03-26T15:45:31.346720
78,Poor,0.98,0.27,0.26,0.62,High,2026-03-26T15:45:31.346723
79,Good,0.82,0.49,0.58,0.7,High,2026-03-26T15:45:31.346726
80,Good,0.59,0.72,0.52,0.64,Medium,2026-03-26T15:45:31.346728
81,Good,0.58,0.69,0.64,0.68,Medium,2026-03-26T15:45:31.346731
82,Poor,0.9,0.23,0.34,0.69,High,2026-03-26T15:45:31.346734
83,Good,0.85,0.37,0.76,0.96,Medium,2026-03-26T15:45:31.346736
84,Good,0.7,0.55,0.57,0.48,High,2026-03-26T15:45:31.346739
85,Poor,0.77,0.23,0.12,0.73,High,2026-03-26T15:45:31.346741
86,Good,0.62,0.49,0.3,0.89,High,2026-03-26T15:45:31.346744
87,Good,0.61,0.41,0.72,0.86,Medium,2026-03-26T15:45:31.346747
88,Good,0.81,0.68,0.6,0.84,Medium,2026-03-26T15:45:31.346749
89,Good,0.96,0.84,0.64,0.63,Medium,2026-03-26T15:45:31.346752
90,Good,0.46,0.57,0.75,0.47,High,2026-03-26T15:45:31.346754
91,Poor,0.82,0.39,0.37,0.52,High,2026-03-26T15:45:31.346757
92,Good,0.84,0.89,0.76,0.42,Medium,2026-03-26T15:45:31.346760
93,Good,0.71,0.43,0.63,0.52,High,2026-03-26T15:45:31.346762
94,Poor,0.86,0.19,0.29,0.86,High,2026-03-26T15:45:31.346765
95,Good,0.7,0.7,0.56,0.73,Medium,2026-03-26T15:45:31.346768
96,Good,0.91,0.47,0.87,0.9,Medium,2026-03-26T15:45:31.346770
97,Good,0.77,0.61,0.49,0.8,Medium,2026-03-26T15:45:31.346773
98,Good,0.82,0.38,0.55,0.9,Medium,2026-03-26T15:45:31.346775
99,Good,0.82,0.37,0.28,0.71,High,2026-03-26T15:45:31.346778
100,Good,0.53,0.69,0.85,0.57,Medium,2026-03-26T15:45:31.346781
101,Poor,0.64,0.19,0.35,0.79,High,2026-03-26T15:45:31.346783
102,Poor,0.64,0.19,0.19,0.54,High,2026-03-26T15:45:31.346786
103,Poor,0.79,0.29,0.13,0.54,High,2026-03-26T15:45:31.346789
104,Good,0.92,0.74,0.84,0.46,Medium,2026-03-26T15:45:31.346791
105,Good,0.52,0.47,0.8,0.67,Medium,2026-03-26T15:45:31.346794
106,Good,0.92,0.88,0.78,0.43,Medium,2026-03-26T15:45:31.346796
107,Good,0.69,0.49,0.57,0.75,Medium,2026-03-26T15:45:31.346799
108,Good,0.57,0.65,0.77,0.86,Medium,2026-03-26T15:45:31.346802
109,Good,0.56,0.42,0.74,0.62,High,2026-03-26T15:45:31.346806
110,Poor,0.55,0.23,0.39,0.6,High,2026-03-26T15:45:31.346809
111,Good,0.86,0.47,0.54,0.85,Medium,2026-03-26T15:45:31.346812
112,Poor,0.58,0.24,0.34,0.79,High,2026-03-26T15:45:31.346815
113,Good,0.71,0.63,0.87,0.99,Medium,2026-03-26T15:45:31.346818
114,Good,0.56,0.51,0.52,0.51,High,2026-03-26T15:45:31.346820
115,Poor,0.6,0.33,0.32,0.67,High,2026-03-26T15:45:31.346823
116,Good,0.59,0.79,0.72,0.46,Medium,2026-03-26T15:45:31.346825
117,Good,0.83,0.74,0.51,0.91,Medium,2026-03-26T15:45:31.346828
118,Poor,0.58,0.29,0.16,0.54,High,2026-03-26T15:45:31.346831
119,Poor,0.65,0.3,0.14,0.95,High,2026-03-26T15:45:31.346833
120,Good,0.67,0.69,0.86,0.49,Medium,2026-03-26T15:45:31.346836
121,Good,0.43,0.57,0.29,0.94,High,2026-03-26T15:45:31.346839
122,Good,0.46,0.55,0.74,0.91,Medium,2026-03-26T15:45:31.346841
123,Good,0.75,0.42,0.39,0.42,High,2026-03-26T15:45:31.346844
124,Good,0.88,0.39,0.82,0.72,Medium,2026-03-26T15:45:31.346846
125,Good,0.59,0.6,0.33,0.84,High,2026-03-26T15:45:31.346849
126,Good,0.66,0.69,0.56,0.82,Medium,2026-03-26T15:45:31.346852
127,Poor,0.66,0.21,0.18,0.83,High,2026-03-26T15:45:31.346854
128,Good,0.46,0.4,0.51,0.84,High,2026-03-26T15:45:31.346857
129,Poor,0.96,0.33,0.16,0.42,High,2026-03-26T15:45:31.346859
130,Poor,0.99,0.21,0.17,0.74,High,2026-03-26T15:45:31.346862
131,Good,0.67,0.36,0.85,0.98,Medium,2026-03-26T15:45:31.346865
132,Good,0.91,0.79,0.73,0.92,Low,2026-03-26T15:45:31.346868
133,Good,0.65,0.83,0.75,0.95,Medium,2026-03-26T15:45:31.346870
134,Poor,0.5,0.32,0.13,0.51,High,2026-03-26T15:45:31.346873
